tweet_id	image_id	clean_text	image_path	image_url	label_informative	label_humanitarian	event
9,17791E+17	917791044158185473_0	Wildfires raging through Northern California are terrifying	data_image/california_wildfires/10_10_2017/917791044158185473_0.jpg	http://pbs.twimg.com/media/DLyi_WYVYAApwNg.jpg	informative	other_relevant_information	california_wildfires
9,17793E+17	917793137925459968_0	California wildfires destroy more than 50 structures: KAKEnews	data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg	http://pbs.twimg.com/media/DLtgmEPXUAEo1LV.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17793E+17	917793137925459968_1	California wildfires destroy more than 50 structures: KAKEnews	data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg	http://pbs.twimg.com/media/DLtgmEPXkAAvOdi.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17793E+17	917793137925459968_2	California wildfires destroy more than 50 structures: KAKEnews	data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg	http://pbs.twimg.com/media/DLtgmF9X0AASfbh.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17794E+17	917793736918216706_0	California wildfire. 4	data_image/california_wildfires/10_10_2017/917793736918216706_0.jpg	http://pbs.twimg.com/media/DLyoiI0X0AAsw1h.jpg	not_informative	not_humanitarian	california_wildfires
9,17794E+17	917794024173563904_0	Henry Cejudo suffers burns, loses gold medal in California wildfire	data_image/california_wildfires/10_10_2017/917794024173563904_0.jpg	http://pbs.twimg.com/media/DLyozN6WkAIAIQr.jpg	informative	injured_or_dead_people	california_wildfires
9,17795E+17	917795098523512962_0	California large wildfire activity for October 10 cawildfires cafires	data_image/california_wildfires/10_10_2017/917795098523512962_0.jpg	http://pbs.twimg.com/media/DLyWOWNUQAAnt7-.jpg	informative	other_relevant_information	california_wildfires
9,17798E+17	917797601763889160_0	From ScienceNow - Wildfires Running Amok in California NASA wildfires	data_image/california_wildfires/10_10_2017/917797601763889160_0.jpg	http://pbs.twimg.com/media/DLysC69X0AE9Rul.jpg	informative	other_relevant_information	california_wildfires
9,17798E+17	917797763282214913_0	On today's PNS newscast: deadly wildfires ravage Northern California. Listen now:	data_image/california_wildfires/10_10_2017/917797763282214913_0.jpg	http://pbs.twimg.com/media/DLysM6bUEAUV-2v.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17803E+17	917803185317859329_0	I think Event: Wildfire has occurred in California Tue Oct 10 12:25:03 2017 CDT	data_image/california_wildfires/10_10_2017/917803185317859329_0.jpg	http://pbs.twimg.com/media/DLyxIceWkAALt_7.jpg	informative	other_relevant_information	california_wildfires
9,17809E+17	917809119310041089_0	Hundreds more firefighters deploy to battle deadly wildfires in California	data_image/california_wildfires/10_10_2017/917809119310041089_0.jpg	http://pbs.twimg.com/media/DLy1gJRW4AALpZa.jpg	informative	rescue_volunteering_or_donation_effort	california_wildfires
9,17811E+17	917810972479381504_0	Deadly wildfires threaten thousands of acres of pot farms in California	data_image/california_wildfires/10_10_2017/917810972479381504_0.jpg	http://pbs.twimg.com/media/DLy4NuMX0AAtUT7.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17815E+17	917815040962695168_2	Photos of California's destructive wildfires, via :	data_image/california_wildfires/10_10_2017/917815040962695168_2.jpg	http://pbs.twimg.com/media/DLy7q0EX0AE9uR9.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17816E+17	917816344061542401_0	Watch California's wine-country wildfires spread in these incredible new images from space	data_image/california_wildfires/10_10_2017/917816344061542401_0.jpg	http://pbs.twimg.com/media/DLy9GYPWsAI4b48.jpg	informative	other_relevant_information	california_wildfires
9,17817E+17	917817013409583106_0	Wildfires sweep through California wine country	data_image/california_wildfires/10_10_2017/917817013409583106_0.jpg	http://pbs.twimg.com/media/DLy9tVsXcAMIVpG.jpg	informative	infrastructure_and_utility_damage	california_wildfires
9,17819E+17	917818995377569793_0	California wildfires hit wine country, burning hotels and threatening vineyards	data_image/california_wildfires/10_10_2017/917818995377569793_0.jpg	http://pbs.twimg.com/media/DLy_gsHXcAMQ8uE.jpg	informative	infrastructure_and_utility_damage	california_wildfires
